hiragana;romaji;associacao;imagem_url
あ;a;Árvore;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/a.png
い;i;Ímã;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/i.png
う;u;Urso;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/u.png
え;e;Elefante;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/e.png
お;o;Ovo;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/o.png
か;ka;Ford Ka;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ka.png
き;ki;Chave;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ki.png
く;ku;Tucano;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ku.png
け;ke;Queijo;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ke.png
こ;ko;Copo;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ko.png
さ;sa;Saco;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/sa.png
し;shi;Chimarrão;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/shi.png
す;su;Sushi;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/su.png
せ;se;Selo;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/se.png
そ;so;Sol;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/so.png
た;ta;Tatu;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ta.png
ち;chi;Chiclete;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/chi.png
つ;tsu;Tsunami;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/tsu.png
て;te;Telefone;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/te.png
と;to;Touro;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/to.png
な;na;Navio;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/na.png
に;ni;Ninho;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ni.png
ぬ;nu;Nuvem;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/nu.png
ね;ne;Nescau;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ne.png
の;no;Nó;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/no.png
は;ha;Harpa;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ha.png
ひ;hi;Hipopótamo;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/hi.png
ふ;fu;Furacão;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/fu.png
へ;he;Hélice;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/he.png
ほ;ho;Hotel;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ho.png
ま;ma;Mala;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ma.png
み;mi;Milho;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/mi.png
む;mu;Múmia;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/mu.png
め;me;Mel;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/me.png
も;mo;Moeda;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/mo.png
や;ya;Iate;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ya.png
ゆ;yu;YouTube;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/yu.png
よ;yo;Ioiô;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/yo.png
ら;ra;Rádio;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ra.png
り;ri;Rio;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ri.png
る;ru;Rua;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ru.png
れ;re;Relógio;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/re.png
ろ;ro;Robô;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/ro.png
わ;wa;Waffle;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/wa.png
を;wo;Waffle quebrado;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/wo.png
ん;n;Nariz;https://raw.githubusercontent.com/wodasouto/FlashcardAPP/main/Decks/hiragana_imgs/n.png